PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
3032954,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-ETM,Ms,COMPLETED,DOM-09,3,0.25,2.75,LOWCOST,OTHER POLICY AND POLITICAL SCIENCE,100,730215,NUTRITION,100
3033076,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-AAD,Mr,COMPLETED,DOM-09,3,0.5,4.5,LOWCOST,APPLIED LINGUISTICS AND EDUCATIONAL LINGUISTICS,100,740301,HIGHER EDUCATION,100
3033179,246AA,Doctor of Philosophy in Communication,FCY-AAD,FCY-AAD,Mr,COMPLETED,DOM-09,3,0.25,4.25,LOWCOST,CURATORIAL STUDIES NOT ELSEWHERE CLASSIFIED,100,751006,MANAGING COLLECTIONS,100
3033206,853AA,Doctor of Philosophy in Management,FCY-BGL,FCY-BGL,Miss,ENROLLED,DOM-09,3,0.25,4.5,LOWCOST,HUMAN RESOURCES MANAGEMENT,100,750699,GOVERNMENT AND POLITICS NOT ELSEWHERE CLASSIFIED,100
3033218,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-AAD,Mr,DISCONTIN,INT-11,3,0,1.25,LOWCOST,APPLIED LINGUISTICS AND EDUCATIONAL LINGUISTICS,100,751005,COMMUNICATION ACROSS LANGUAGES AND CULTURES,100
3033365,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-AAD,Mr,DISCONTIN,INT-09,3,0,0,LOWCOST,LANGUAGE AND CULTURE,100,740000,EDUCATION AND TRAINING,100
3033443,180JA,Doctor of Philosophy in Health,FCY-HLT,FCY-HLT,Ms,COMPLETED,DOM-09,3,0.5,3,HIGHCOST,REHABILITATION AND THERAPY: OCCUPATIONAL AND PHYSICAL,100,730303,"OCCUPATIONAL, SPEECH & PHYSIO THERAPY",100
3033443,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,FCY-HLT,Ms,DISCONTIN,DOM-09,3,0.25,0.25,HIGHCOST,REHABILITATION AND THERAPY: OCCUPATIONAL AND PHYSICAL,100,730303,"OCCUPATIONAL, SPEECH & PHYSIO THERAPY",100
3033443,886AA,Master of Physiotherapy (Research),FCY-HLT,FCY-HLT,Ms,DISCONTIN,DOM-09,2,0.25,0.5,,REHABILITATION AND THERAPY: OCCUPATIONAL AND PHYSICAL,100,730303,"OCCUPATIONAL, SPEECH & PHYSIO THERAPY",100
3033445,921AA,Doctor of Philosophy in Government,FCY-BGL,IGPA,Mr,ENROLLED,DOM-09,3,0.25,4.25,LOWCOST,COMPARATIVE GOVERNMENT AND POLITICS,100,750702,UNDERSTANDING OTHER COUNTRIES,100
